Vendor Name,VAT Number,Address,Payment Terms,Historical Invoice Records,Approved PO List
Robinson Group,219692325,"143 Bishop Summit Apt. 913
Hesterland, MI 16657",Net 60,IN_3661103,PO_686011
Smith Group,670073433,"26458 Jean Branch
Edwardsmouth, GU 42671",Net 45,IN_2552399,PO_440812
"King, Harris and Combs",144948872,"46476 Russell Ford
Cristinamouth, WV 55249",Net 30,IN_1571067,PO_153147
Miller PLC,788323921,"340 Sullivan Harbor Suite 210
North Gloriafurt, PA 81781",Net 45,IN_5388361,PO_224061
Price Group,677862478,"926 Ball Mall
Elizabethhaven, CT 38421",Net 60,IN_4297386,PO_654381
Solis Inc,917531695,"673 Fox Light Suite 194
Matthewstad, KY 26836",Net 30,IN_6432249,PO_758247
"Lopez, Hernandez and Velez",92800224,"PSC 0054, Box 2132
APO AP 86388",Net 60,IN_8418758,PO_925057
Dyer Inc,850425303,"167 Harvey Union Apt. 835
Walshfurt, NM 05875",Net 60,IN_3754848,PO_830900
"Howard, Flores and Watkins",474490816,"79694 Donna Centers Apt. 445
Ruizville, NH 09897",Net 60,IN_5431673,PO_263339
White-Mendoza,599365814,"PSC 5554, Box 9872
APO AA 78416",Net 30,IN_7526483,PO_218651
